,start,labels
510,92820,5
511,93002,5
512,93184,8
513,93366,3
514,93548,9
515,93730,1
516,93912,19
517,94094,2
518,94276,17
519,94458,10
520,94640,7
521,94822,13
522,95004,10
523,95186,12
524,95368,8
525,95550,17
526,95732,6
527,95914,1
528,96096,5
529,96278,20
530,96460,18
531,96642,11
532,96824,10
533,97006,3
534,97188,4
535,97370,15
536,97552,8
537,97734,18
538,97916,2
539,98098,19
540,98280,5
541,98462,9
542,98644,5
543,98826,11
544,99008,11
545,99190,7
546,99372,8
547,99554,15
548,99736,2
549,99918,1
550,100100,19
551,100282,15
552,100464,5
553,100646,20
554,100828,5
555,101010,18
556,101192,16
557,101374,18
558,101556,1
559,101738,8
560,101920,14
561,102102,17
562,102284,17
563,102466,16
564,102648,12
565,102830,2
566,103012,11
567,103194,4
568,103376,11
569,103558,1
570,103740,5
571,103922,1
572,104104,11
573,104286,13
574,104468,11
575,104650,6
576,104832,16
577,105014,16
578,105196,11
579,105378,2
580,105560,17
581,105742,16
582,105924,19
583,106106,11
584,106288,20
585,106470,4
586,106652,3
587,106834,14
588,107016,11
589,107198,8
590,107380,6
591,107562,12
592,107744,2
593,107926,6
594,108108,1
595,108290,11
596,108472,18
597,108654,5
598,108836,6
599,109018,3
600,109200,5
601,109382,13
602,109564,3
603,109746,7
604,109928,20
605,110110,3
606,110292,13
607,110474,19
608,110656,3
609,110838,17
610,111020,4
611,111202,2
612,111384,12
613,111566,18
614,111748,14
615,111930,11
616,112112,8
617,112294,13
618,112476,15
619,112658,3
620,112840,12
621,113022,8
622,113204,4
623,113386,12
624,113568,2
625,113750,1
626,113932,5
627,114114,1
628,114296,11
629,114478,8
630,114660,12
631,114842,13
632,115024,20
633,115206,6
634,115388,3
635,115570,9
636,115752,11
637,115934,20
638,116116,13
639,116298,3
640,116480,4
641,116662,2
642,116844,2
643,117026,5
644,117208,10
645,117390,5
646,117572,8
647,117754,5
648,117936,18
649,118118,18
650,118300,6
651,118482,20
652,118664,14
653,118846,17
654,119028,11
655,119210,1
656,119392,15
657,119574,5
658,119756,16
659,119938,18
660,120120,20
661,120302,7
662,120484,8
663,120666,5
664,120848,4
665,121030,20
666,121212,1
667,121394,1
668,121576,3
669,121758,16
670,121940,18
671,122122,4
672,122304,8
673,122486,13
674,122668,10
675,122850,19
676,123032,8
677,123214,13
678,123396,18
679,123578,19
680,123760,6
681,123942,14
682,124124,5
683,124306,9
684,124488,5
685,124670,10
686,124852,8
687,125034,2
688,125216,15
689,125398,16
690,125580,9
691,125762,9
692,125944,4
693,126126,19
694,126308,5
695,126490,11
696,126672,4
697,126854,3
698,127036,6
699,127218,17
700,127400,7
701,127582,17
702,127764,10
703,127946,8
704,128128,15
705,128310,20
706,128492,7
707,128674,10
708,128856,10
709,129038,19
710,129220,15
711,129402,3
712,129584,9
713,129766,16
714,129948,20
715,130130,16
716,130312,7
717,130494,1
718,130676,3
719,130858,5
720,131040,18
721,131222,4
722,131404,2
723,131586,7
724,131768,1
725,131950,16
726,132132,11
727,132314,1
728,132496,5
729,132678,6
730,132860,9
731,133042,11
732,133224,12
733,133406,20
734,133588,5
735,133770,5
736,133952,12
737,134134,15
738,134316,11
739,134498,12
740,134680,12
741,134862,17
742,135044,9
743,135226,3
744,135408,14
745,135590,4
746,135772,14
747,135954,9
748,136136,16
749,136318,2
750,136500,20
751,136682,1
752,136864,18
753,137046,2
754,137228,8
755,137410,7
756,137592,16
757,137774,5
758,137956,6
759,138138,15
760,138320,13
761,138502,16
762,138684,20
763,138866,6
764,139048,20
765,139230,2
766,139412,13
767,139594,20
768,139776,18
769,139958,19
770,140140,5
771,140322,17
772,140504,6
773,140686,14
774,140868,7
775,141050,20
776,141232,6
777,141414,1
778,141596,16
779,141778,1
780,141960,19
781,142142,5
782,142324,5
783,142506,7
784,142688,2
785,142870,3
786,143052,2
787,143234,17
788,143416,2
789,143598,19
790,143780,4
791,143962,2
792,144144,11
793,144326,2
794,144508,17
795,144690,13
796,144872,4
797,145054,1
798,145236,17
799,145418,12
800,145600,11
801,145782,11
802,145964,18
803,146146,2
804,146328,5
805,146510,10
806,146692,8
807,146874,18
808,147056,17
809,147238,10
810,147420,17
811,147602,9
812,147784,2
813,147966,12
814,148148,4
815,148330,13
816,148512,6
817,148694,7
818,148876,2
819,149058,14
820,149240,12
821,149422,5
822,149604,19
823,149786,9
824,149968,3
825,150150,10
826,150332,8
827,150514,6
828,150696,6
829,150878,5
830,151060,5
831,151242,14
832,151424,1
833,151606,12
834,151788,12
835,151970,1
836,152152,7
837,152334,15
838,152516,6
839,152698,6
840,152880,2
841,153062,8
842,153244,12
843,153426,17
844,153608,11
845,153790,19
846,153972,13
847,154154,4
848,154336,5
849,154518,20
850,154700,4
851,154882,12
852,155064,3
853,155246,19
854,155428,9
855,155610,6
856,155792,14
857,155974,9
858,156156,12
859,156338,18
860,156520,16
861,156702,4
862,156884,9
863,157066,12
864,157248,1
865,157430,10
866,157612,8
867,157794,5
868,157976,10
869,158158,11
870,158340,16
871,158522,1
872,158704,10
873,158886,16
874,159068,4
875,159250,8
876,159432,16
877,159614,14
878,159796,17
879,159978,14
880,160160,14
881,160342,15
882,160524,3
883,160706,3
884,160888,9
885,161070,20
886,161252,5
887,161434,8
888,161616,6
889,161798,8
890,161980,11
891,162162,13
892,162344,17
893,162526,15
894,162708,5
895,162890,1
896,163072,10
897,163254,7
898,163436,20
899,163618,6
900,163800,15
901,163982,12
902,164164,9
903,164346,18
904,164528,17
905,164710,2
906,164892,17
907,165074,2
908,165256,14
909,165438,15
910,165620,2
911,165802,3
912,165984,14
913,166166,16
914,166348,5
915,166530,20
916,166712,20
917,166894,7
918,167076,2
919,167258,8
920,167440,17
921,167622,19
922,167804,7
923,167986,8
924,168168,9
925,168350,9
926,168532,8
927,168714,16
928,168896,2
929,169078,15
930,169260,11
931,169442,1
932,169624,16
933,169806,20
934,169988,18
935,170170,8
936,170352,6
937,170534,4
938,170716,13
939,170898,11
940,171080,12
941,171262,5
942,171444,12
943,171626,12
944,171808,5
945,171990,5
946,172172,4
947,172354,2
948,172536,8
949,172718,1
950,172900,19
951,173082,16
952,173264,16
953,173446,20
954,173628,16
955,173810,17
956,173992,19
957,174174,4
958,174356,12
959,174538,19
960,174720,4
961,174902,8
962,175084,15
963,175266,16
964,175448,4
965,175630,5
966,175812,18
967,175994,4
968,176176,20
969,176358,10
970,176540,7
971,176722,14
972,176904,17
973,177086,17
974,177268,10
975,177450,8
976,177632,20
977,177814,8
978,177996,5
979,178178,11
980,178360,6
981,178542,15
982,178724,8
983,178906,18
984,179088,15
985,179270,4
986,179452,6
987,179634,1
988,179816,4
989,179998,2
990,180180,18
991,180362,1
992,180544,9
993,180726,20
994,180908,17
995,181090,5
996,181272,9
997,181454,17
998,181636,10
999,181818,12
1000,182000,5
1001,182182,18
1002,182364,2
1003,182546,16
1004,182728,9
1005,182910,11
1006,183092,7
1007,183274,18
1008,183456,11
1009,183638,6
1010,183820,7
1011,184002,9
1012,184184,1
1013,184366,18
1014,184548,13
1015,184730,14
1016,184912,18
1017,185094,13
1018,185276,3
1019,185458,1
1020,185640,12
1021,185822,7
1022,186004,11
1023,186186,4
1024,186368,6
1025,186550,9
1026,186732,6
1027,186914,19
1028,187096,14
1029,187278,10
1030,187460,6
1031,187642,2
1032,187824,5
1033,188006,19
1034,188188,18
1035,188370,12
1036,188552,2
1037,188734,6
1038,188916,20
1039,189098,4
1040,189280,10
1041,189462,19
1042,189644,14
1043,189826,17
1044,190008,1
1045,190190,8
1046,190372,16
1047,190554,5
1048,190736,1
1049,190918,17
1050,191100,17
1051,191282,17
1052,191464,1
1053,191646,9
1054,191828,3
1055,192010,13
1056,192192,20
1057,192374,17
1058,192556,11
1059,192738,17
1060,192920,10
1061,193102,5
1062,193284,16
1063,193466,13
1064,193648,3
1065,193830,19
1066,194012,20
1067,194194,1
1068,194376,15
1069,194558,12
1070,194740,7
1071,194922,18
1072,195104,12
1073,195286,20
1074,195468,19
1075,195650,1
1076,195832,5
1077,196014,8
1078,196196,13
1079,196378,16
1080,196560,4
1081,196742,14
1082,196924,19
1083,197106,15
1084,197288,13
1085,197470,9
1086,197652,4
1087,197834,19
1088,198016,1
1089,198198,14
1090,198380,20
1091,198562,17
1092,198744,1
1093,198926,3
1094,199108,17
1095,199290,14
1096,199472,7
1097,199654,10
1098,199836,17
1099,200018,12
1100,200200,7
1101,200382,5
1102,200564,3
1103,200746,5
1104,200928,6
1105,201110,1
1106,201292,10
1107,201474,6
1108,201656,6
1109,201838,20
1110,202020,16
1111,202202,5
1112,202384,6
1113,202566,5
1114,202748,12
1115,202930,13
1116,203112,4
1117,203294,5
1118,203476,8
1119,203658,17
1120,203840,1
1121,204022,14
1122,204204,19
1123,204386,13
1124,204568,4
1125,204750,7
1126,204932,9
1127,205114,13
1128,205296,5
1129,205478,16
1130,205660,8
1131,205842,1
1132,206024,12
1133,206206,16
1134,206388,17
1135,206570,8
1136,206752,1
1137,206934,6
1138,207116,17
1139,207298,3
1140,207480,17
1141,207662,16
1142,207844,14
1143,208026,2
1144,208208,20
1145,208390,3
1146,208572,10
1147,208754,20
1148,208936,10
1149,209118,7
1150,209300,17
1151,209482,16
1152,209664,6
1153,209846,17
1154,210028,10
1155,210210,12
1156,210392,14
1157,210574,12
1158,210756,15
1159,210938,3
1160,211120,11
1161,211302,5
1162,211484,6
1163,211666,4
1164,211848,20
1165,212030,17
1166,212212,7
1167,212394,12
1168,212576,18
1169,212758,13
1170,212940,1
1171,213122,8
1172,213304,20
1173,213486,8
1174,213668,12
1175,213850,17
1176,214032,6
1177,214214,19
1178,214396,11
1179,214578,6
1180,214760,4
1181,214942,1
